continent,location,date,population,highest_infection_count,per_pop_infected
Europe,Luxembourg,2021-01-17,625976,48630,7.768668447352614
Europe,Luxembourg,2021-01-16,625976,48630,7.768668447352614
Europe,Luxembourg,2021-01-15,625976,48630,7.768668447352614
Europe,Croatia,2021-04-23,4105268,318837,7.766533147166031
Europe,Czechia,2021-10-01,10708982,831165,7.76138198756894
Europe,Netherlands,2021-05-04,17134873,1329560,7.759380533488634
Europe,Portugal,2021-02-17,10196707,790885,7.756278571111242
Europe,France,2021-04-16,68147687,5285304,7.7556616118167
"North America",Panama,2021-02-18,4314768,334463,7.75158710734853
Europe,Lithuania,2021-03-24,2722291,211011,7.751228652631184
Europe,Luxembourg,2021-01-14,625976,48486,7.745664370518998
Europe,Estonia,2021-03-27,1326539,102738,7.744815644319542
Europe,Belgium,2021-03-04,11589616,897474,7.743776842994625
Asia,Georgia,2021-04-29,3989175,308834,7.741801249631816
Asia,Bahrain,2021-03-15,1701583,131683,7.738852586091892
Europe,Montenegro,2021-01-01,628062,48589,7.736338132222614
"North America",Panama,2021-02-17,4314768,333755,7.735178345625999
Europe,Portugal,2021-02-16,10196707,788561,7.733486899250905
Europe,Hungary,2021-04-17,9660350,746802,7.730589471395964
Asia,Israel,2021-03-02,8655541,668874,7.72769720575525
Europe,Luxembourg,2021-01-13,625976,48372,7.727452809692384
Europe,Netherlands,2021-04-04,17134873,1324021,7.727054644641954
"North America",Panama,2021-02-16,4314768,333251,7.723497532196401
Europe,Lithuania,2021-03-23,2722291,210202,7.721511036108924
Europe,Portugal,2021-02-15,10196707,787059,7.718756653496074
Asia,Lebanon,2021-04-30,6825442,526578,7.714928937935447
"North America",Panama,2021-02-15,4314768,332679,7.7102407360024925
Europe,Portugal,2021-02-14,10196707,785756,7.705978018197443
Asia,Georgia,2021-04-28,3989175,307401,7.705879035138845
Europe,Croatia,2021-04-22,4105268,316308,7.704929373673046
Europe,France,2021-04-15,68147687,5248853,7.702173369435121
Europe,Andorra,2020-11-17,77265,5951,7.702064324079466
Europe,Belgium,2021-02-04,11589616,892585,7.701592529036337
Asia,Lebanon,2021-04-29,6825442,525577,7.700263221048543
Asia,Bahrain,2021-03-14,1701583,131001,7.6987722608888305
"North America",Panama,2021-02-14,4314768,332179,7.6986526274413825
Europe,Luxembourg,2021-12-01,625976,48181,7.696940457781129
Europe,Lithuania,2021-03-22,2722291,209340,7.689846529999915
Europe,Portugal,2021-02-13,10196707,784079,7.689531532091684
"North America",Panama,2021-02-13,4314768,331692,7.687365809702862
Europe,Netherlands,2021-03-04,17134873,1316913,7.685571991108425
Europe,Hungary,2021-04-16,9660350,742198,7.682930742674955
Europe,Czechia,2021-09-01,10708982,822716,7.682485599471546
Europe,Montenegro,2020-12-31,628062,48247,7.6818849094516155
Asia,Lebanon,2021-04-28,6825442,524241,7.680689397111571
Europe,Lithuania,2021-03-21,2722291,209011,7.677761121055758
Europe,Liechtenstein,2021-04-30,38137,2926,7.672339198154024
Europe,Luxembourg,2021-11-01,625976,48027,7.672338875611845
"North America",Panama,2021-12-02,4314768,330985,7.6709802241974545
Asia,Georgia,2021-04-27,3989175,305850,7.666998815544568
Europe,Lithuania,2021-03-20,2722291,208650,7.664500231606393
Asia,Bahrain,2021-03-13,1701583,130404,7.663687284134832
Europe,Portugal,2021-12-02,10196707,781223,7.661522489564524
Europe,Belgium,2021-01-04,11589616,887920,7.661340979718396
Europe,Liechtenstein,2021-04-29,38137,2921,7.659228570679392
Asia,Lebanon,2021-04-27,6825442,522763,7.6590351218280075
Europe,Estonia,2021-03-26,1326539,101587,7.658048500647173
Europe,Andorra,2020-11-16,77265,5914,7.654177182424125
"North America",Panama,2021-11-02,4314768,330075,7.649889866616236
Europe,France,2021-04-14,68147687,5210772,7.646293263042075
Europe,Lithuania,2021-03-19,2722291,208048,7.64238650460219
Asia,Lebanon,2021-04-26,6825442,521581,7.641717562027485
Europe,Netherlands,2021-02-04,17134873,1308774,7.638072368555052
Europe,Croatia,2021-04-21,4105268,313423,7.634653815536526
Europe,Portugal,2021-11-02,10196707,778369,7.633533061212801
"North America",Panama,2021-10-02,4314768,329367,7.633481104893705
Asia,Lebanon,2021-04-25,6825442,520939,7.6323115777703485
Asia,Bahrain,2021-12-03,1701583,129825,7.629660145875929
Europe,Hungary,2021-04-15,9660350,736982,7.628936839762535
Asia,Georgia,2021-04-26,3989175,304272,7.627441764274569
Europe,Luxembourg,2021-10-01,625976,47744,7.627129474612445
